ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
13050,LPG,AmeriGas,700 County Highway H,Route 12 exit,Elkhorn,WI,53121,,262-723-7410,E,,Public,8am-3pm M-F,M V Cash,,,,,,,,,,200-8,42.660919,-88.522923,11/2/17,11/02/2017 12:27:50 PM +0000,P,,,,,,FALSE,,"(42.660919, -88.522923)"
14121,LPG,AmeriGas,1901 Pleasant St,Near Highway 38,DeKalb,IL,60115,,815-758-5416,E,,Public - Call ahead,7am-3:30pm M-F,A D M V Cash,,,,,,,,,,200-8,41.9328155,-88.7269657,11/2/17,11/02/2017 12:33:21 PM +0000,P,,,,,,FALSE,,"(41.9328155, -88.7269657)"
14122,LPG,AmeriGas,4158 Division St,"Roosevelt Rd, west to Oak Ridge, north to Division",Hillside,IL,60162,,708-544-1131,E,,Public,7am-4:30pm M-F,Cash A M V,,,,,,,,,,200-8,41.8662363,-87.8871535,4/6/17,04/06/2017 09:15:14 AM +0000,P,,,,,,TRUE,,"(41.8662363, -87.8871535)"
15014,LPG,AmeriGas,310 N Sangamon St,4 blocks west of Interstate 90/94,Chicago,IL,60607,,312-997-2300,E,,Public,6am-4pm M-F,A D M V Cash,,,,,,,,,,200-8,41.8872821,-87.6511547,11/2/17,11/02/2017 12:30:21 PM +0000,P,,,,,,TRUE,,"(41.8872821, -87.6511547)"
19143,CNG,Gas Technology Institute,1700 S Mount Prospect Rd,"0.5 mile north of Touhy Ave, just north of O'Hare Airport",Des Plaines,IL,60018,,847-768-0500,E,,Public - Credit card at all times,24 hours daily,A D M V CleanEnergy FuelMan Wright_Exp,,Q,3600,,,,,,,200-8,42.019954,-87.922412,8/2/17,08/02/2017 01:59:34 PM +0000,P,,,1/15/95,,HD,,,"(42.019954, -87.922412)"
19794,LPG,U-Haul,1861 US Route 41,South of Route 30,Schererville,IN,46375,,219-322-2043,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash Checks,,,,,,,,,,200-9,41.4886027,-87.4695468,7/6/17,07/06/2017 12:17:18 PM +0000,P,,,,,,FALSE,,"(41.4886027, -87.4695468)"
19916,LPG,U-Haul,1560 Mount Prospect Rd,"Corner of Oakton and Mt. Prospect, between 83 and Manheim",Des Plaines,IL,60018,,847-298-1170,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,42.023601,-87.921322,11/2/17,11/02/2017 12:31:11 PM +0000,P,,,,,,TRUE,,"(42.023601, -87.921322)"
19918,LPG,U-Haul,2125 Dempster St,Between Dodge and McCormick,Evanston,IL,60201,,847-864-8877,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,42.041488,-87.703333,11/2/17,11/02/2017 12:28:27 PM +0000,P,,,,,,FALSE,,"(42.041488, -87.703333)"
19919,LPG,U-Haul,2915 W 159th St,,Markham,IL,60428,,708-333-7840,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,41.6002472,-87.6881635,11/2/17,11/02/2017 12:30:01 PM +0000,P,,,,,,FALSE,,"(41.6002472, -87.6881635)"
19924,LPG,U-Haul,1700 N Cicero Ave,Between North and Grand,Chicago,IL,60639,,773-889-8194,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,41.9119446,-87.7463825,11/2/17,11/02/2017 12:32:52 PM +0000,P,,,,,,FALSE,,"(41.9119446, -87.7463825)"
